,Ticker,Industry
TECH,TECH,Biotechnology
REGN,REGN,Biotechnology
VRTX,VRTX,Biotechnology
UTHR,UTHR,Biotechnology
ALNY,ALNY,Biotechnology
IONS,IONS,Biotechnology
SRPT,SRPT,Biotechnology
JAZZ,JAZZ,Biotechnology
EXEL,EXEL,Biotechnology
INCY,INCY,Biotechnology
BMRN,BMRN,Biotechnology
IDXX,IDXX,Diagnostics & Research
IQV,IQV,Diagnostics & Research
RVTY,RVTY,Diagnostics & Research
DGX,DGX,Diagnostics & Research
LH,LH,Diagnostics & Research
A,A,Diagnostics & Research
ILMN,ILMN,Diagnostics & Research
WAT,WAT,Diagnostics & Research
CRL,CRL,Diagnostics & Research
QGEN,QGEN,Diagnostics & Research
DHR,DHR,Diagnostics & Research
EXAS,EXAS,Diagnostics & Research
TMO,TMO,Diagnostics & Research
GILD,GILD,Drug Manufacturers - General
BIIB,BIIB,Drug Manufacturers - General
JNJ,JNJ,Drug Manufacturers - General
ABBV,ABBV,Drug Manufacturers - General
MRK,MRK,Drug Manufacturers - General
LLY,LLY,Drug Manufacturers - General
AMGN,AMGN,Drug Manufacturers - General
PFE,PFE,Drug Manufacturers - General
BMY,BMY,Drug Manufacturers - General
PRGO,PRGO,Drug Manufacturers - Specialty & Generic
ZTS,ZTS,Drug Manufacturers - Specialty & Generic
VTRS,VTRS,Drug Manufacturers - Specialty & Generic
NBIX,NBIX,Drug Manufacturers - Specialty & Generic
PINC,PINC,Health Information Services
VEEV,VEEV,Health Information Services
CI,CI,Healthcare Plans
UNH,UNH,Healthcare Plans
CNC,CNC,Healthcare Plans
MOH,MOH,Healthcare Plans
HUM,HUM,Healthcare Plans
ELV,ELV,Healthcare Plans
HCA,HCA,Medical Care Facilities
EHC,EHC,Medical Care Facilities
THC,THC,Medical Care Facilities
ACHC,ACHC,Medical Care Facilities
AMED,AMED,Medical Care Facilities
CHE,CHE,Medical Care Facilities
DVA,DVA,Medical Care Facilities
UHS,UHS,Medical Care Facilities
GMED,GMED,Medical Devices
ABT,ABT,Medical Devices
BSX,BSX,Medical Devices
ZBH,ZBH,Medical Devices
BIO,BIO,Medical Devices
SYK,SYK,Medical Devices
MDT,MDT,Medical Devices
BRKR,BRKR,Medical Devices
EW,EW,Medical Devices
DXCM,DXCM,Medical Devices
PODD,PODD,Medical Devices
QDEL,QDEL,Medical Devices
STE,STE,Medical Devices
MASI,MASI,Medical Devices
HSIC,HSIC,Medical Distribution
CAH,CAH,Medical Distribution
AZTA,AZTA,Medical Instruments & Supplies
XRAY,XRAY,Medical Instruments & Supplies
WST,WST,Medical Instruments & Supplies
RGEN,RGEN,Medical Instruments & Supplies
TFX,TFX,Medical Instruments & Supplies
BDX,BDX,Medical Instruments & Supplies
RMD,RMD,Medical Instruments & Supplies
BAX,BAX,Medical Instruments & Supplies
ALGN,ALGN,Medical Instruments & Supplies
HOLX,HOLX,Medical Instruments & Supplies
ISRG,ISRG,Medical Instruments & Supplies
COO,COO,Medical Instruments & Supplies
