pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('LLY', 'UNH')",0.9840584059653436,10.002844678652306,15.4943,False,False,False
"('LLY', 'JNJ')",0.9939668672453118,14.252178975374107,15.4943,False,False,False
"('LLY', 'ABBV')",0.5908374437992827,12.059479404835724,15.4943,False,False,False
"('LLY', 'MRK')",0.44637136230502555,13.252945560871707,15.4943,False,False,False
"('LLY', 'ABT')",0.9885038325092493,9.670519391455098,15.4943,False,False,False
"('LLY', 'TMO')",0.9775702807664416,9.995182334135494,15.4943,False,False,False
"('LLY', 'ISRG')",0.943726072655259,10.76566812817115,15.4943,False,False,False
"('LLY', 'AMGN')",0.5472139732776214,14.519238151495543,15.4943,False,False,False
"('LLY', 'DHR')",0.983135655384516,9.28341581526012,15.4943,False,False,False
"('LLY', 'PFE')",0.9979595749291446,16.58109179248548,15.4943,False,True,False
"('LLY', 'SYK')",0.8225663563552275,12.083993191511176,15.4943,False,False,False
"('LLY', 'BSX')",0.8012901815298312,12.488911891200884,15.4943,False,False,False
"('LLY', 'BMY')",0.994157475907711,17.41088953154824,15.4943,False,True,False
"('LLY', 'VRTX')",0.3127098599937421,14.461976844566491,15.4943,False,False,False
"('LLY', 'GILD')",0.9914596293747742,15.937500326805207,15.4943,False,True,False
"('LLY', 'MDT')",0.9985793259807195,12.803749272923381,15.4943,False,False,False
"('LLY', 'ELV')",0.9766068920608196,10.891050282792975,15.4943,False,False,False
"('LLY', 'CI')",0.4892624956303844,15.642897494044584,15.4943,False,True,False
"('LLY', 'REGN')",0.1309469453216372,18.63905227463995,15.4943,False,True,False
"('LLY', 'ZTS')",0.9880769043760758,10.043966527775211,15.4943,False,False,False
"('LLY', 'BDX')",0.993704149558348,13.834975340756063,15.4943,False,False,False
"('LLY', 'HCA')",0.42584888539402893,13.00488724316129,15.4943,False,False,False
"('LLY', 'EW')",0.9958645979341256,12.254737499467703,15.4943,False,False,False
"('LLY', 'A')",0.9620735546661139,9.469606870301945,15.4943,False,False,False
"('LLY', 'IQV')",0.9799860050748914,10.806029062730797,15.4943,False,False,False
"('LLY', 'IDXX')",0.9279405119568594,9.667956204406606,15.4943,False,False,False
"('LLY', 'RMD')",0.99227051152104,11.817683990503209,15.4943,False,False,False
"('LLY', 'VEEV')",0.9986616180798275,10.264465873574794,15.4943,False,False,False
"('LLY', 'HUM')",0.9845666425963396,13.467346857362738,15.4943,False,False,False
"('LLY', 'ALNY')",0.4259082513995185,18.72376712586508,15.4943,False,True,False
"('LLY', 'DXCM')",0.8196919948371224,10.687861907426742,15.4943,False,False,False
"('LLY', 'CNC')",0.9881246259732913,13.478932734335956,15.4943,False,False,False
"('LLY', 'CAH')",0.7132127651234028,12.452838633732265,15.4943,False,False,False
"('LLY', 'BIIB')",0.9186890365473444,30.135797155493247,15.4943,False,True,False
"('LLY', 'WST')",0.8969472419882021,10.967012146275747,15.4943,False,False,False
"('LLY', 'WAT')",0.9601876301180667,11.528887174995372,15.4943,False,False,False
"('LLY', 'ZBH')",0.9901210311113452,17.649838568298605,15.4943,False,True,False
"('LLY', 'ILMN')",1.0,16.167974244986326,15.4943,False,True,False
"('LLY', 'STE')",0.9869576652663663,10.194300992322255,15.4943,False,False,False
"('LLY', 'COO')",0.9561758617949878,11.54731819964353,15.4943,False,False,False
"('LLY', 'LH')",0.9203814441852459,11.909028498721218,15.4943,False,False,False
"('LLY', 'PODD')",0.9724118885625078,10.828259205730797,15.4943,False,False,False
"('LLY', 'DGX')",0.9319100711821411,11.93616713656978,15.4943,False,False,False
"('LLY', 'MOH')",0.8652442132259824,10.675235846973843,15.4943,False,False,False
"('LLY', 'HOLX')",0.9434999408830265,12.233473161144852,15.4943,False,False,False
"('LLY', 'ALGN')",0.9970950609267777,11.466397034216783,15.4943,False,False,False
"('LLY', 'UTHR')",0.7656138434375218,13.771179389604358,15.4943,False,False,False
"('LLY', 'BAX')",1.0,14.866220130957752,15.4943,False,False,False
"('LLY', 'VTRS')",0.9664578333850481,10.122572051890137,15.4943,False,False,False
"('LLY', 'RVTY')",0.9979371525608618,11.785290815959609,15.4943,False,False,False
"('LLY', 'THC')",0.7156315193431768,13.211064914280644,15.4943,False,False,False
"('LLY', 'NBIX')",0.9574614989587233,13.394783082275763,15.4943,False,False,False
"('LLY', 'BMRN')",1.0,22.477079538676193,15.4943,False,True,False
"('LLY', 'INCY')",0.961770856520936,19.825603123939775,15.4943,False,True,False
"('LLY', 'SRPT')",0.9936002557402261,13.066136047101356,15.4943,False,False,False
"('LLY', 'TECH')",0.99673923377741,10.76876616644647,15.4943,False,False,False
"('LLY', 'EXAS')",0.9979267860277466,11.423022525859746,15.4943,False,False,False
"('LLY', 'UHS')",0.9125078551143289,22.517807153455248,15.4943,False,True,False
"('LLY', 'EXEL')",0.9979386610374035,11.582051647353916,15.4943,False,False,False
"('LLY', 'EHC')",0.952758209110436,13.32497989589332,15.4943,False,False,False
"('LLY', 'CRL')",0.9952795624402195,10.050574193630853,15.4943,False,False,False
"('LLY', 'QGEN')",0.9855052808575356,12.170735808147208,15.4943,False,False,False
"('LLY', 'GMED')",0.996594424829354,11.671735723688533,15.4943,False,False,False
"('LLY', 'HSIC')",0.7646930499750174,19.91098027843915,15.4943,False,True,False
"('LLY', 'TFX')",0.9989333123641626,11.942079950414039,15.4943,False,False,False
"('LLY', 'CHE')",0.9861779538950302,9.77411018207125,15.4943,False,False,False
"('LLY', 'DVA')",0.9570208663082593,14.387476687606759,15.4943,False,False,False
"('LLY', 'RGEN')",0.9787250073070567,10.967422192688772,15.4943,False,False,False
"('LLY', 'JAZZ')",0.9966302481072626,26.614078764757753,15.4943,False,True,False
"('LLY', 'MASI')",0.9982359771244833,12.044124119166696,15.4943,False,False,False
"('LLY', 'BRKR')",0.9473937905110563,11.00661197756122,15.4943,False,False,False
"('LLY', 'BIO')",0.9985673384256595,14.033547813960928,15.4943,False,False,False
"('LLY', 'IONS')",0.9954967246305089,19.11007349778121,15.4943,False,True,False
"('LLY', 'XRAY')",0.9498894211361503,16.338422177736774,15.4943,False,True,False
"('LLY', 'PRGO')",0.9971624343224295,10.27388953978546,15.4943,False,False,False
"('LLY', 'ACHC')",0.9651420612616763,12.179790621289646,15.4943,False,False,False
"('LLY', 'AMED')",1.0,11.881472893071415,15.4943,False,False,False
"('LLY', 'AZTA')",0.9912914773631579,10.391128287389797,15.4943,False,False,False
"('LLY', 'QDEL')",0.9988087265900094,12.012682077123133,15.4943,False,False,False
"('LLY', 'PINC')",0.9950985692765594,21.319097911681002,15.4943,False,True,False
"('UNH', 'JNJ')",0.035328438358533026,13.700601659849077,15.4943,True,False,False
"('UNH', 'ABBV')",0.0020622293454075507,18.370563554097956,15.4943,True,True,True
"('UNH', 'MRK')",0.14501156821250188,8.842371447802162,15.4943,False,False,False
"('UNH', 'ABT')",0.39916451913093387,5.249813828192164,15.4943,False,False,False
"('UNH', 'TMO')",0.11724648248793762,9.849259519228568,15.4943,False,False,False
"('UNH', 'ISRG')",0.1338412541159114,7.353234235943287,15.4943,False,False,False
"('UNH', 'AMGN')",0.006448045783428966,13.726294230034986,15.4943,True,False,False
"('UNH', 'DHR')",0.20840161060372187,8.376891643512492,15.4943,False,False,False
"('UNH', 'PFE')",0.9103408687671045,4.0132387594949765,15.4943,False,False,False
"('UNH', 'SYK')",0.09488714845865254,9.163553878483885,15.4943,False,False,False
"('UNH', 'BSX')",0.22514140403770605,6.0584043009200546,15.4943,False,False,False
"('UNH', 'BMY')",0.5264615703850021,8.035094040297455,15.4943,False,False,False
"('UNH', 'VRTX')",0.2319716497685536,5.511971140643318,15.4943,False,False,False
"('UNH', 'GILD')",0.9651206014570413,8.419742308154614,15.4943,False,False,False
"('UNH', 'MDT')",0.9020837583873903,6.717749454037282,15.4943,False,False,False
"('UNH', 'ELV')",0.0074267815977041695,22.891771466417495,15.4943,True,True,True
"('UNH', 'CI')",0.03345412186405357,13.197444883180534,15.4943,True,False,False
"('UNH', 'REGN')",0.19847066840076433,6.61837957943789,15.4943,False,False,False
"('UNH', 'ZTS')",0.28392002023915514,6.990742206191915,15.4943,False,False,False
"('UNH', 'BDX')",0.5454984919787196,7.6901987487786325,15.4943,False,False,False
"('UNH', 'HCA')",0.031230043915933682,11.03398793208958,15.4943,True,False,False
"('UNH', 'EW')",0.6640732916819183,6.297604988854657,15.4943,False,False,False
"('UNH', 'A')",0.07495262032048018,7.47062724615977,15.4943,False,False,False
"('UNH', 'IQV')",0.059679051971626595,9.14972141836283,15.4943,False,False,False
"('UNH', 'IDXX')",0.27153817682100423,6.30551860490605,15.4943,False,False,False
