iShares U.S. Healthcare ETF
Fund Holdings as of,"Dec 05, 2024"
Inception Date,"Jun 12, 2000"
Shares Outstanding,"52,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LLY","ELI LILLY","Health Care","Equity","386,552,807.14","11.98","386,552,807.14","468,197.00","825.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","311,390,329.95","9.65","311,390,329.95","537,835.00","578.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","210,938,330.40","6.54","210,938,330.40","1,410,770.00","149.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","182,534,317.42","5.66","182,534,317.42","1,036,126.00","176.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","153,557,608.60","4.76","153,557,608.60","1,482,932.00","103.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","116,923,215.06","3.62","116,923,215.06","1,011,534.00","115.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","116,322,622.08","3.60","116,322,622.08","223,328.00","520.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","113,143,942.35","3.51","113,143,942.35","206,599.00","547.65","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","86,034,551.61","2.67","86,034,551.61","313,617.00","274.33","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","86,017,051.21","2.67","86,017,051.21","377,483.00","227.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","85,212,102.20","2.64","85,212,102.20","3,315,646.00","25.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","80,932,156.75","2.51","80,932,156.75","211,615.00","382.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","77,759,747.67","2.41","77,759,747.67","858,939.00","90.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","69,793,713.24","2.16","69,793,713.24","1,186,161.00","58.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","69,543,123.44","2.15","69,543,123.44","151,207.00","459.92","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","68,160,691.50","2.11","68,160,691.50","729,850.00","93.39","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","63,162,720.04","1.96","63,162,720.04","750,686.00","84.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
