,pair,correlation,same_sector,same_kmeans,mean_reverting,growth_differential
0,"('LLY', 'UNH')",0.8928256018421058,0,0,False,-0.00317924523364322
1,"('LLY', 'JNJ')",0.7964881742645128,1,0,False,0.03594490962463306
2,"('LLY', 'ABBV')",0.9011310307382311,1,0,False,0.017984564178662416
3,"('LLY', 'MRK')",0.9105572136818434,1,0,False,-0.005208085386915445
4,"('LLY', 'ABT')",0.7447693312414987,0,0,False,0.020062899185019776
5,"('LLY', 'TMO')",0.8151392740882506,0,0,False,0.004527907611323198
6,"('LLY', 'ISRG')",0.7798303321047865,0,1,False,-0.02081282477015818
7,"('LLY', 'DHR')",0.7913737199733111,0,1,False,0.030395410860140623
8,"('LLY', 'AMGN')",0.8439724725016894,1,0,False,0.027939494651975927
9,"('LLY', 'PFE')",0.6509722551236893,1,0,False,-0.045720229894088575
10,"('LLY', 'SYK')",0.8216476757607083,0,0,False,-0.002678456706610141
11,"('LLY', 'BSX')",0.788371360687456,0,0,False,-0.0034912673596019517
12,"('LLY', 'BMY')",0.6502938466842256,1,0,False,0.032928297342468306
13,"('LLY', 'VRTX')",0.8794263832418624,0,1,False,-0.016361409113877
14,"('LLY', 'GILD')",0.3073192418395098,1,0,False,0.028713583964925883
15,"('LLY', 'MDT')",0.40415351269191296,0,0,False,0.03971702771082344
16,"('LLY', 'ELV')",0.8710553649723858,0,0,False,-0.00042761275985693514
17,"('LLY', 'CI')",0.8599246357392459,0,0,False,0.017194945211307103
18,"('LLY', 'REGN')",0.8645988821216548,0,0,False,-0.04099626120226144
19,"('LLY', 'MCK')",0.9020064058950368,0,0,False,0.03971702771082344
20,"('LLY', 'ZTS')",0.7795044044053827,0,0,False,0.010665448488074776
21,"('LLY', 'CVS')",0.36184368491666846,0,0,False,0.006326082296681024
22,"('LLY', 'BDX')",0.6713634635455041,0,0,False,0.0382769949412885
23,"('LLY', 'HCA')",0.8918901070381342,0,1,False,0.012616578931602587
24,"('LLY', 'COR')",0.9558972039181394,0,0,True,0.015960428194602267
25,"('LLY', 'EW')",0.65390796347051,0,1,False,0.0022500407877340395
26,"('LLY', 'A')",0.7768544648929795,0,0,False,0.010263657700428596
27,"('LLY', 'RMD')",0.7095284002031311,0,0,False,0.03971702771082344
28,"('LLY', 'IDXX')",0.7416214581448615,0,1,False,0.00389398224020248
29,"('LLY', 'HUM')",0.8373625440837693,0,0,False,0.00193400538262474
30,"('LLY', 'IQV')",0.7774523999641169,0,0,False,0.006397338885100433
31,"('LLY', 'DXCM')",0.7903499995652601,0,0,False,-0.03851508517539625
32,"('LLY', 'CNC')",0.6888331577213744,0,1,False,0.0012113461013468843
33,"('LLY', 'CAH')",0.6049532622786004,0,0,False,0.03971702771082344
34,"('LLY', 'MTD')",0.7736912916626764,0,0,False,0.01462330289513104
35,"('LLY', 'BIIB')",-0.3742256255496244,1,0,False,0.07193894959700596
36,"('LLY', 'WST')",0.8174682532953679,0,1,False,-0.00030993154742262746
37,"('LLY', 'WAT')",0.7263304149303894,0,0,False,0.013123295001376566
38,"('LLY', 'ZBH')",0.39332690477556564,0,0,False,0.017921350460250472
39,"('LLY', 'STE')",0.8158891893067829,0,0,False,0.03971702771082344
40,"('LLY', 'COO')",0.6733724634366163,0,0,False,-0.006989418620273302
41,"('LLY', 'LH')",0.7676766501226125,0,0,False,0.05438576840496371
42,"('LLY', 'PODD')",0.7186613494320244,0,0,False,-0.03839878449763769
