,Ticker,Industry
INCY,INCY,Biotechnology
TECH,TECH,Biotechnology
VRTX,VRTX,Biotechnology
REGN,REGN,Biotechnology
IDXX,IDXX,Diagnostics & Research
CRL,CRL,Diagnostics & Research
RVTY,RVTY,Diagnostics & Research
DGX,DGX,Diagnostics & Research
TMO,TMO,Diagnostics & Research
LH,LH,Diagnostics & Research
DHR,DHR,Diagnostics & Research
WAT,WAT,Diagnostics & Research
MTD,MTD,Diagnostics & Research
IQV,IQV,Diagnostics & Research
A,A,Diagnostics & Research
BIIB,BIIB,Drug Manufacturers - General
LLY,LLY,Drug Manufacturers - General
PFE,PFE,Drug Manufacturers - General
AMGN,AMGN,Drug Manufacturers - General
GILD,GILD,Drug Manufacturers - General
JNJ,JNJ,Drug Manufacturers - General
ABBV,ABBV,Drug Manufacturers - General
BMY,BMY,Drug Manufacturers - General
MRK,MRK,Drug Manufacturers - General
ZTS,ZTS,Drug Manufacturers - Specialty & Generic
CTLT,CTLT,Drug Manufacturers - Specialty & Generic
VTRS,VTRS,Drug Manufacturers - Specialty & Generic
MOH,MOH,Healthcare Plans
HUM,HUM,Healthcare Plans
ELV,ELV,Healthcare Plans
CVS,CVS,Healthcare Plans
UNH,UNH,Healthcare Plans
CI,CI,Healthcare Plans
CNC,CNC,Healthcare Plans
UHS,UHS,Medical Care Facilities
DVA,DVA,Medical Care Facilities
HCA,HCA,Medical Care Facilities
MDT,MDT,Medical Devices
DXCM,DXCM,Medical Devices
ZBH,ZBH,Medical Devices
STE,STE,Medical Devices
PODD,PODD,Medical Devices
ABT,ABT,Medical Devices
BSX,BSX,Medical Devices
SYK,SYK,Medical Devices
EW,EW,Medical Devices
CAH,CAH,Medical Distribution
HSIC,HSIC,Medical Distribution
MCK,MCK,Medical Distribution
COR,COR,Medical Distribution
BDX,BDX,Medical Instruments & Supplies
BAX,BAX,Medical Instruments & Supplies
TFX,TFX,Medical Instruments & Supplies
ALGN,ALGN,Medical Instruments & Supplies
HOLX,HOLX,Medical Instruments & Supplies
ISRG,ISRG,Medical Instruments & Supplies
COO,COO,Medical Instruments & Supplies
RMD,RMD,Medical Instruments & Supplies
WST,WST,Medical Instruments & Supplies
