pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('LLY', 'UNH')",0.9840583390354318,10.002841762175787,15.4943,False,False,False
"('LLY', 'JNJ')",0.9939668760439497,14.252166261721271,15.4943,False,False,False
"('LLY', 'ABBV')",0.5908376921906543,12.059471101564622,15.4943,False,False,False
"('LLY', 'MRK')",0.4463703470791536,13.252944899687337,15.4943,False,False,False
"('LLY', 'ABT')",0.9885038235876371,9.670511927502845,15.4943,False,False,False
"('LLY', 'TMO')",0.9775701647254288,9.995174493078949,15.4943,False,False,False
"('LLY', 'ISRG')",0.9437259906057771,10.76566370637262,15.4943,False,False,False
"('LLY', 'DHR')",0.9831356216850696,9.283414254454765,15.4943,False,False,False
"('LLY', 'AMGN')",0.5472131470167378,14.519234175393915,15.4943,False,False,False
"('LLY', 'PFE')",0.9979595786517612,16.581095904957984,15.4943,False,True,False
"('LLY', 'SYK')",0.822566023846083,12.083988072729047,15.4943,False,False,False
"('LLY', 'BSX')",0.8012900044809322,12.488906905379096,15.4943,False,False,False
"('LLY', 'BMY')",0.994157459965001,17.410887369318313,15.4943,False,True,False
"('LLY', 'VRTX')",0.31270972323110846,14.46197222041228,15.4943,False,False,False
"('LLY', 'GILD')",0.9914595926634332,15.937492372717193,15.4943,False,True,False
"('LLY', 'MDT')",0.9985793245638772,12.803746803609483,15.4943,False,False,False
"('LLY', 'ELV')",0.9766068546215909,10.891047843836589,15.4943,False,False,False
"('LLY', 'CI')",0.48926302529962823,15.642891009597694,15.4943,False,True,False
"('LLY', 'REGN')",0.1309468208185921,18.639047431088812,15.4943,False,True,False
"('LLY', 'MCK')",0.4436893394842007,15.164828199456663,15.4943,False,False,False
"('LLY', 'ZTS')",0.9880768971282828,10.043956592663989,15.4943,False,False,False
"('LLY', 'CVS')",0.9963044407932167,13.145238066033036,15.4943,False,False,False
"('LLY', 'BDX')",0.9937041439789236,13.834970204690137,15.4943,False,False,False
"('LLY', 'HCA')",0.42584783341650656,13.004884121595664,15.4943,False,False,False
"('LLY', 'COR')",0.0027424241464102375,23.274686793382685,15.4943,True,True,True
"('LLY', 'EW')",0.9958645937476953,12.25472873663325,15.4943,False,False,False
"('LLY', 'A')",0.9620733182237559,9.469600105863918,15.4943,False,False,False
"('LLY', 'RMD')",0.9922704742705265,11.817674495581036,15.4943,False,False,False
"('LLY', 'IDXX')",0.9279405110679827,9.667951188608251,15.4943,False,False,False
"('LLY', 'HUM')",0.9845666185449534,13.467342991826076,15.4943,False,False,False
"('LLY', 'IQV')",0.9799860158122111,10.806023555122453,15.4943,False,False,False
"('LLY', 'DXCM')",0.8196923029274389,10.687857740760547,15.4943,False,False,False
"('LLY', 'CNC')",0.9881246286114621,13.478928923626531,15.4943,False,False,False
"('LLY', 'CAH')",0.7132130064850524,12.452834742567186,15.4943,False,False,False
"('LLY', 'MTD')",0.9822031806305075,10.182281816806546,15.4943,False,False,False
"('LLY', 'BIIB')",0.9186890270057277,30.13579229394904,15.4943,False,True,False
"('LLY', 'WST')",0.8969470681150469,10.967005073685026,15.4943,False,False,False
"('LLY', 'WAT')",0.9601876548622976,11.528882031672833,15.4943,False,False,False
"('LLY', 'ZBH')",0.9901210422661687,17.649836772596952,15.4943,False,True,False
"('LLY', 'STE')",0.9869576493296885,10.194295535833591,15.4943,False,False,False
"('LLY', 'COO')",0.9561760283100468,11.547315281357779,15.4943,False,False,False
"('LLY', 'LH')",0.9203814582012231,11.909021025523353,15.4943,False,False,False
"('LLY', 'PODD')",0.97241192284472,10.828252543511082,15.4943,False,False,False
"('LLY', 'HOLX')",0.9434999110260032,12.233468452090085,15.4943,False,False,False
"('LLY', 'DGX')",0.9319100539446132,11.936163429879304,15.4943,False,False,False
"('LLY', 'MOH')",0.8652441632573231,10.675231112714116,15.4943,False,False,False
"('LLY', 'BAX')",1.0,14.86621397668612,15.4943,False,False,False
"('LLY', 'ALGN')",0.9970950572593544,11.466388353745852,15.4943,False,False,False
"('LLY', 'VTRS')",0.9664578133821587,10.122566382389628,15.4943,False,False,False
"('LLY', 'RVTY')",0.9979371463083955,11.785282920555732,15.4943,False,False,False
"('LLY', 'TECH')",0.9967392420431862,10.768764497100664,15.4943,False,False,False
"('LLY', 'UHS')",0.9125078529806498,22.5177957454627,15.4943,False,True,False
"('LLY', 'INCY')",0.9617708525987737,19.825598497222504,15.4943,False,True,False
"('LLY', 'CRL')",0.995279576259509,10.050568961161149,15.4943,False,False,False
"('LLY', 'HSIC')",0.7646930381563211,19.910974670187333,15.4943,False,True,False
"('LLY', 'TFX')",0.9989333125655971,11.942071742976852,15.4943,False,False,False
"('LLY', 'DVA')",0.9570208880426097,14.387472543924277,15.4943,False,False,False
"('UNH', 'JNJ')",0.03532870298104572,13.700594640550769,15.4943,True,False,False
"('UNH', 'ABBV')",0.00206221862291697,18.370574287263203,15.4943,True,True,True
"('UNH', 'MRK')",0.14501138454719797,8.84237375654888,15.4943,False,False,False
"('UNH', 'ABT')",0.39916407957780553,5.249814176436247,15.4943,False,False,False
"('UNH', 'TMO')",0.11724688924381549,9.849260498667027,15.4943,False,False,False
"('UNH', 'ISRG')",0.13384141384923037,7.3532385020575015,15.4943,False,False,False
"('UNH', 'DHR')",0.2084017360658626,8.376893992373477,15.4943,False,False,False
"('UNH', 'AMGN')",0.0064480622456826045,13.726296438947827,15.4943,True,False,False
"('UNH', 'PFE')",0.9103409350169687,4.01324234240865,15.4943,False,False,False
"('UNH', 'SYK')",0.09488704651009433,9.16355602379365,15.4943,False,False,False
"('UNH', 'BSX')",0.2251412847783899,6.058406882027173,15.4943,False,False,False
"('UNH', 'BMY')",0.526461651787871,8.035098317374374,15.4943,False,False,False
"('UNH', 'VRTX')",0.23197141306879376,5.511976952203595,15.4943,False,False,False
"('UNH', 'GILD')",0.9651205881054671,8.419739243151124,15.4943,False,False,False
"('UNH', 'MDT')",0.9020836957438003,6.717753415879868,15.4943,False,False,False
"('UNH', 'ELV')",0.007426770340821641,22.891761987191124,15.4943,True,True,True
"('UNH', 'CI')",0.03345414761534147,13.197434542001764,15.4943,True,False,False
"('UNH', 'REGN')",0.19847077446647537,6.618381266834618,15.4943,False,False,False
"('UNH', 'MCK')",0.5632550111554437,7.6958432321872365,15.4943,False,False,False
"('UNH', 'ZTS')",0.28392051418114606,6.990739056844053,15.4943,False,False,False
"('UNH', 'CVS')",0.9222733975073,4.870282565289307,15.4943,False,False,False
"('UNH', 'BDX')",0.5454986406162159,7.690197214723829,15.4943,False,False,False
"('UNH', 'HCA')",0.031230063717531256,11.033990629093783,15.4943,True,False,False
"('UNH', 'COR')",0.598532892722417,4.69073072347497,15.4943,False,False,False
"('UNH', 'EW')",0.6640733674015061,6.297609246608146,15.4943,False,False,False
"('UNH', 'A')",0.07495228387304154,7.470625863148123,15.4943,False,False,False
"('UNH', 'RMD')",0.654712113168413,5.817156400713116,15.4943,False,False,False
"('UNH', 'IDXX')",0.2715382165074519,6.305518420828475,15.4943,False,False,False
"('UNH', 'HUM')",0.04727543621295168,11.57094121152932,15.4943,True,False,False
"('UNH', 'IQV')",0.059678880482652734,9.149727077544707,15.4943,False,False,False
"('UNH', 'DXCM')",0.1375112602679988,6.7559723933065525,15.4943,False,False,False
"('UNH', 'CNC')",0.4712603187227737,8.444247487965871,15.4943,False,False,False
"('UNH', 'CAH')",0.776951943149599,4.902556823319744,15.4943,False,False,False
"('UNH', 'MTD')",0.32456369680597674,7.07720750888552,15.4943,False,False,False
"('UNH', 'BIIB')",0.4100016015746395,22.84446441502226,15.4943,False,True,False
"('UNH', 'WST')",0.2658649984320963,8.19111034366353,15.4943,False,False,False
"('UNH', 'WAT')",0.08383187611151904,10.107493032171824,15.4943,False,False,False
"('UNH', 'ZBH')",0.5613833340366374,10.624186631593917,15.4943,False,False,False
"('UNH', 'STE')",0.04042705856866664,10.80089562015916,15.4943,True,False,False
"('UNH', 'COO')",0.2998629280581845,6.574105739445353,15.4943,False,False,False
"('UNH', 'LH')",0.05045090453664891,11.299682786761645,15.4943,False,False,False
"('UNH', 'PODD')",0.28612504086634316,5.772007465768919,15.4943,False,False,False
"('UNH', 'HOLX')",0.05127460562450947,11.806698706755054,15.4943,False,False,False
"('UNH', 'DGX')",0.010370762139915968,12.923053401419974,15.4943,True,False,False
"('UNH', 'MOH')",0.006412394913079405,12.579058376034826,15.4943,True,False,False
"('UNH', 'BAX')",0.9893288117872524,6.027444738583228,15.4943,False,False,False
"('UNH', 'ALGN')",0.8730741515241627,5.638286763487774,15.4943,False,False,False
"('UNH', 'VTRS')",0.13784636558144397,9.549127256898405,15.4943,False,False,False
"('UNH', 'RVTY')",0.8305703993008386,5.309654469759076,15.4943,False,False,False
"('UNH', 'TECH')",0.6116715915526562,5.626747275832618,15.4943,False,False,False
"('UNH', 'UHS')",0.5367012566124294,14.958144030718802,15.4943,False,False,False
"('UNH', 'INCY')",0.7829403345979311,11.016716432156098,15.4943,False,False,False
"('UNH', 'CRL')",0.7399742870054674,4.840190043648411,15.4943,False,False,False
"('UNH', 'HSIC')",0.04576186817719701,16.569506862011604,15.4943,True,True,True
"('UNH', 'TFX')",0.9597044886458689,4.9584742128746395,15.4943,False,False,False
"('UNH', 'DVA')",0.507351389671416,6.569781690772314,15.4943,False,False,False
"('JNJ', 'ABBV')",0.06721859434919208,8.971009402893177,15.4943,False,False,False
"('JNJ', 'MRK')",0.3587112096560283,5.446665471952042,15.4943,False,False,False
"('JNJ', 'ABT')",0.043000049853575334,10.851458421764342,15.4943,True,False,False
"('JNJ', 'TMO')",0.012567801680323242,15.365435269854151,15.4943,True,False,False
"('JNJ', 'ISRG')",0.01801289142462823,13.446708898746932,15.4943,True,False,False
"('JNJ', 'DHR')",0.0030383477956060236,17.889679210028703,15.4943,True,True,True
"('JNJ', 'AMGN')",0.04830815674373929,9.931864760685206,15.4943,True,False,False
"('JNJ', 'PFE')",0.5360105865504331,7.031419470321517,15.4943,False,False,False
"('JNJ', 'SYK')",0.02333704993584111,12.297541163642977,15.4943,True,False,False
"('JNJ', 'BSX')",0.13688986597355796,7.8158406739333985,15.4943,False,False,False
"('JNJ', 'BMY')",0.3334036883670889,9.628286458659323,15.4943,False,False,False
"('JNJ', 'VRTX')",0.38060461494825726,4.668576102627672,15.4943,False,False,False
"('JNJ', 'GILD')",0.6257458496836614,10.356282513965681,15.4943,False,False,False
"('JNJ', 'MDT')",0.5497944945676534,9.558377827078372,15.4943,False,False,False
"('JNJ', 'ELV')",0.01313318964524487,15.477803710821565,15.4943,True,False,False
"('JNJ', 'CI')",0.044761667797425714,12.925894736918552,15.4943,True,False,False
"('JNJ', 'REGN')",0.32801923299804747,4.817410379854645,15.4943,False,False,False
"('JNJ', 'MCK')",0.4722652311437575,9.915401322258472,15.4943,False,False,False
"('JNJ', 'ZTS')",0.022940876233337962,11.55666052333689,15.4943,True,False,False
"('JNJ', 'CVS')",0.6960391412811476,6.043006191110752,15.4943,False,False,False
"('JNJ', 'BDX')",0.03591747945577954,12.558202776909768,15.4943,True,False,False
"('JNJ', 'HCA')",0.10711792688254557,9.44346758018401,15.4943,False,False,False
"('JNJ', 'COR')",0.5372276128326138,4.878066903010901,15.4943,False,False,False
"('JNJ', 'EW')",0.07554205842133976,12.7254870927495,15.4943,False,False,False
"('JNJ', 'A')",0.006533639837782968,14.659803659642941,15.4943,True,False,False
"('JNJ', 'RMD')",0.01690996579823222,13.75641593140779,15.4943,True,False,False
"('JNJ', 'IDXX')",0.05136120985456316,11.118544175668461,15.4943,False,False,False
"('JNJ', 'HUM')",0.00022937402086228642,21.935105612858774,15.4943,True,True,True
"('JNJ', 'IQV')",0.009317820699052794,18.314583804794708,15.4943,True,True,True
"('JNJ', 'DXCM')",0.04407483469904698,10.807185465206315,15.4943,True,False,False
"('JNJ', 'CNC')",0.02902526322549128,15.977898967867835,15.4943,True,True,True
"('JNJ', 'CAH')",0.5668652739253957,4.612907505457711,15.4943,False,False,False
"('JNJ', 'MTD')",0.0029588502452472638,17.880627907379345,15.4943,True,True,True
"('JNJ', 'BIIB')",0.13768166008191535,25.45934391087656,15.4943,False,True,False
"('JNJ', 'WST')",0.03933229723221295,9.168160261715622,15.4943,True,False,False
